Pipeline,Classifier,Recall,F2,ROC AUC
None_None_None,Logistic Regression,0.04,0.048,0.798
Yeo_Johnson_None_None,Logistic Regression,0.108,0.128,0.876
Box_Cox_None_None,Logistic Regression,0.106,0.126,0.875
MinMax_None_None,Logistic Regression,0.097,0.115,0.858
Standardize_None_None,Logistic Regression,0.1,0.118,0.858
Robust_Scaler_None_None,Logistic Regression,0.095,0.112,0.852
None_Rand_Over_None,Logistic Regression,0.706,0.372,0.838
Yeo_Johnson_Rand_Over_None,Logistic Regression,0.795,0.399,0.878
Box_Cox_Rand_Over_None,Logistic Regression,0.8,0.401,0.878
MinMax_Rand_Over_None,Logistic Regression,0.761,0.387,0.865
Standardize_Rand_Over_None,Logistic Regression,0.76,0.391,0.866
Robust_Scaler_Rand_Over_None,Logistic Regression,0.764,0.386,0.865
None_Rand_Under_None,Logistic Regression,0.708,0.372,0.837
Yeo_Johnson_Rand_Under_None,Logistic Regression,0.802,0.391,0.875
Box_Cox_Rand_Under_None,Logistic Regression,0.802,0.394,0.876
MinMax_Rand_Under_None,Logistic Regression,0.766,0.371,0.859
Standardize_Rand_Under_None,Logistic Regression,0.767,0.383,0.862
Robust_Scaler_Rand_Under_None,Logistic Regression,0.773,0.379,0.861
None_SMOTE_None,Logistic Regression,0.635,0.347,0.807
Yeo_Johnson_SMOTE_None,Logistic Regression,0.779,0.395,0.874
Box_Cox_SMOTE_None,Logistic Regression,0.783,0.398,0.874
MinMax_SMOTE_None,Logistic Regression,0.733,0.386,0.861
Standardize_SMOTE_None,Logistic Regression,0.741,0.383,0.86
Robust_Scaler_SMOTE_None,Logistic Regression,0.742,0.383,0.861
None_SMOTE_Under_None,Logistic Regression,0.654,0.351,0.809
Yeo_Johnson_SMOTE_Under_None,Logistic Regression,0.776,0.393,0.874
Box_Cox_SMOTE_Under_None,Logistic Regression,0.784,0.399,0.874
MinMax_SMOTE_Under_None,Logistic Regression,0.734,0.387,0.861
Standardize_SMOTE_Under_None,Logistic Regression,0.738,0.381,0.86
Robust_Scaler_SMOTE_Under_None,Logistic Regression,0.748,0.383,0.861
None_PCA4_None,Logistic Regression,0.029,0.035,0.823
Yeo_Johnson_PCA4_None,Logistic Regression,0,0.001,0.807
Box_Cox_PCA4_None,Logistic Regression,0,0.001,0.81
MinMax_PCA4_None,Logistic Regression,0,0,0.784
Standardize_PCA4_None,Logistic Regression,0.014,0.018,0.801
Robust_Scaler_PCA4_None,Logistic Regression,0.024,0.029,0.801
None_PCA4_Rand_Over,Logistic Regression,0.673,0.36,0.834
Yeo_Johnson_PCA4_Rand_Over,Logistic Regression,0.744,0.308,0.808
Box_Cox_PCA4_Rand_Over,Logistic Regression,0.736,0.312,0.811
MinMax_PCA4_Rand_Over,Logistic Regression,0.713,0.287,0.784
Standardize_PCA4_Rand_Over,Logistic Regression,0.704,0.315,0.805
Robust_Scaler_PCA4_Rand_Over,Logistic Regression,0.608,0.318,0.805
None_PCA4_Rand_Under,Logistic Regression,0.677,0.36,0.834
Yeo_Johnson_PCA4_Rand_Under,Logistic Regression,0.745,0.307,0.808
Box_Cox_PCA4_Rand_Under,Logistic Regression,0.737,0.312,0.811
MinMax_PCA4_Rand_Under,Logistic Regression,0.717,0.288,0.783
Standardize_PCA4_Rand_Under,Logistic Regression,0.706,0.316,0.805
Robust_Scaler_PCA4_Rand_Under,Logistic Regression,0.607,0.316,0.804
None_PCA4_SMOTE,Logistic Regression,0.674,0.359,0.833
Yeo_Johnson_PCA4_SMOTE,Logistic Regression,0.744,0.308,0.808
Box_Cox_PCA4_SMOTE,Logistic Regression,0.735,0.311,0.811
MinMax_PCA4_SMOTE,Logistic Regression,0.715,0.288,0.784
Standardize_PCA4_SMOTE,Logistic Regression,0.708,0.315,0.805
Robust_Scaler_PCA4_SMOTE,Logistic Regression,0.607,0.317,0.805
None_PCA4_SMOTE_Under,Logistic Regression,0.675,0.359,0.833
Yeo_Johnson_PCA4_SMOTE_Under,Logistic Regression,0.743,0.308,0.808
Box_Cox_PCA4_SMOTE_Under,Logistic Regression,0.735,0.312,0.811
MinMax_PCA4_SMOTE_Under,Logistic Regression,0.716,0.289,0.784
Standardize_PCA4_SMOTE_Under,Logistic Regression,0.706,0.315,0.805
Robust_Scaler_PCA4_SMOTE_Under,Logistic Regression,0.607,0.317,0.805
None_PCA8_None,Logistic Regression,0.025,0.031,0.817
Yeo_Johnson_PCA8_None,Logistic Regression,0.007,0.009,0.836
Box_Cox_PCA8_None,Logistic Regression,0.006,0.007,0.839
MinMax_PCA8_None,Logistic Regression,0,0,0.792
Standardize_PCA8_None,Logistic Regression,0.031,0.038,0.83
