"address","GreenLeader_Observed","GreenLeader_Predictions","lng","lat"
"'s Gravelandseveer 4, 1011 KM Amsterdam The Netherlands",0,0,4.8964946,52.3678306
"'s Gravenhof 6, 7201 DN Zutphen The Netherlands",0,0,6.1940562,52.139762
"'t Zand 15, Bruges 8000 Belgium",0,0,3.2182243,51.2057165
"05350 Saint-Veran France",0,0,6.868571,44.700836
"1 2 Robertson Terrace, Hastings TN34 1JE England",0,0,0.5777593,50.8547946
"1 38/42 Grosvenor Road, Newcastle upon Tyne NE2 2RP England",0,0,-1.5998575,54.991589
"1 Abercorn Terrace, Edinburgh EH15 2DD Scotland",0,0,-3.1080221,55.9508564
"1 Achaion Street, Nicosia 2413 Cyprus",NA,0,33.3265909,35.1637352
"1 Agios Ioannis, 311 00 Greece",0,0,20.6805844,38.8367699
"1 Alfred Terrace Great Western Road, Glasgow G12 8RF Scotland",0,0,-4.2862351,55.8765129
"1 Aristotelous Str., Hersonissos, Crete 700 14 Greece",0,0,25.3898374,35.3094864
"1 Avenue Victoria, 03200 Vichy France",0,1,3.4201296,46.1277998
"1 Avenue du Lac Bois Briard Tertiary Park, 91021 Evry France",1,0,2.4209418,48.6196594
"1 B avenue de la Concorde, 44500 La-Baule-Escoublac France",0,0,-2.4001595,47.2817708
"1 B rue du Maine 14th Arr., 75014 Paris France",0,0,2.3237621,48.8404052
"1 Bd Saint Rodolphe de Turenne, 19120 Beaulieu-sur-Dordogne France",0,0,1.8382681,44.978707
"1 Borgmaestaregatan, Varberg, Varberg Municipality 432 41 Sweden",0,0,12.2490523,57.1071672
"1 Botolph Alley, London EC3R 8DR England",0,0,-0.0845315,51.5101271
"1 Bridge Street, Salisbury SP1 2ND England",0,0,-1.7980848,51.0685064
"1 Broad Street West, Sheffield S1 2BQ England",0,0,-1.462191,53.3837917
"1 Broad Street, South Molton EX36 3AB England",0,0,-3.8338097,51.0176185
"1 Bulgaria Blvd, Sofia 1421 Bulgaria",NA,1,23.3196954,42.6813166
"1 Carrefour Helianthe, 64200 Biarritz France",0,1,-1.564539,43.4781989
"1 Chapel Street, Montrose DD10 8RE Scotland",0,0,-2.4662899,56.7126704
"1 Chemin Gaulois, 13210 Saint-Remy-de-Provence France",0,1,4.8280299,43.7820508
"1 Chemin Pierre Terver, 95290 L'Isle-Adam France",0,0,2.2134737,49.1165332
"1 Chemin de Neguebous Rond Point Pujols, 66700, Argeles-sur-Mer France",0,0,3.025746,42.554118
"1 Crane Court, London EC4A 2EJ England",0,0,-0.1091506,51.5147321
"1 Dayton Drive Camperdown Leisure Park, Kingsway, Dundee DD2 3SQ Scotland",0,0,-3.0216779,56.4821312
"1 Dec 1918 Nr. 1, Sighisoara 545400 Romania",NA,0,24.7948717,46.2182825
"1 Dionysos Street 8101, Paphos 8101 Cyprus",NA,0,32.4160693,34.7563045
"1 Festival Square, Edinburgh EH3 9SR Scotland",1,1,-3.207503,55.947313
"1 Gaelic Lane, Aberdeen AB10 1JF Scotland",0,0,-2.1005094,57.1464349
"1 Gamla Stadens Torg Box 2222, Lidkoping 531 32 Sweden",0,0,13.1611111,58.5033333
"1 Goodmans Yard Lloyds Court Business Centre, London E1 8AT England",0,1,-0.0735098,51.5109887
"1 Grand Hermitage Alley, Golden Sands 9007 Bulgaria",NA,1,28.0437293,43.2903545
"1 Grange Road, Shanklin PO37 6NN England",0,0,-1.1792673,50.6261565
"1 Great Colmore Street, Birmingham B15 2AP England",0,1,-1.9002872,52.4714247
"1 Great Northern Road, Aberdeen AB24 3PS Scotland",0,0,-2.1164254,57.1622357
"1 High Street, Glastonbury BA6 9DP England",0,0,-2.7176614,51.1476123
"1 High Street, Sanquhar DG4 6DJ Scotland",0,0,-3.9250776,55.3681412
"1 High Street, Welwyn AL6 9LZ England",0,0,-0.2153344,51.8312057
"1 High Street, Windermere LA23 1AF England",0,0,-2.9057802,54.3800234
"1 Iron Bridge Lower North Street, Exeter EX4 3RB England",0,0,-3.534752,50.7237504
"1 Killoch Place, Ayr KA7 2EA Scotland",0,0,-4.6293064,55.4585822
"1 Klm Alexandroupolis-Hili Evros, Alexandroupoli 681 00 Greece",0,0,25.873962,40.8457193
"1 Klostergatan, Orebro 703 61 Sweden",0,0,15.2121011,59.2743734
"1 Kolokotroni Georgiou, Tripoli 221 00 Greece",0,0,22.369779,37.5176889
"1 Kristinebergsgatan, Mora 792 32 Sweden",0,0,14.5614591,61.0103791
"1 Lansdowne, Bourton-on-the-Water GL54 2BH England",0,1,-1.7609503,51.8869067
"1 Leigh Street, London WC1H 9EW England",0,0,-0.125613,51.5262541
"1 Leonidou, Athens 104 37 Greece",0,0,23.7225378,37.9839387
"1 Lochside Court Edinburgh Park, Edinburgh EH12 9FX Scotland",0,1,-3.3082322,55.928096
"1 Lockyers Quay Coxside, Plymouth PL1 1HA England",0,0,-4.1281745,50.3678883
"1 M. Kogalniceanu Street, Satu Mare 440024 Romania",NA,0,22.873574,47.793791
"1 Manor Street, Falkirk FK1 1NT Scotland",0,0,-3.7819649,55.9993443
"1 May 19, Szklarska Poreba 58-580 Poland",NA,0,15.5169101,50.818354
"1 Mill Street, Llangollen LL20 8RY Wales",0,0,-3.1687935,52.9711397
"1 Murdock Road Oxon, Bicester OX26 4PP England",0,0,-1.140385,51.9008731
"1 Nether Bakehouse Holyrood, Edinburgh EH8 8PE Scotland",0,0,-3.1783704,55.950995
"1 Olof Palmes Gata, Pitea 941 33 Sweden",0,0,21.4816309,65.3186799
"1 Op Birkelt, Larochette 7633 Luxembourg",0,0,6.2106361,49.7845704
"1 Palmer Street, Frome BA11 1DS England",0,0,-2.3220814,51.2300798
"1 Park Road, Milnthorpe LA7 7AB England",0,0,-2.7733617,54.2266812
"1 Park Road, Windermere LA23 2AW England",0,0,-2.9037478,54.3753889
"1 Petraris Street Water Park Resort, Ayia Napa 5343 Cyprus",NA,0,33.943439,34.985092
"1 Place Francois Truffaut, 37000, Tours France",0,0,0.6933492,47.388129
"1 Place Pierre Mendes France, 49100, Angers France",0,1,-0.5450284,47.4733649
"1 Place Porte de France, 74240 Gaillard, Annemasse France",0,0,6.2067836,46.1918317
"1 Place Richelieu, 92500 Rueil-Malmaison France",0,0,2.1818566,48.873979
"1 Place de la Gare, 60200 Compiegne City, Compiegne France",0,0,2.8238131,49.4213265
"1 Place des Freres Lamennais, 35400, Saint-Malo France",0,1,-2.0271968,48.6497634
"1 Place des Terres Neuves Boulevard Jean Jacques Bosc, 33130 Begles, Bordeaux France",0,1,-0.5514363,44.8152454
"1 Place du General Leclerc, 11300 Limoux France",0,0,2.2162306,43.0533537
"1 Place du Pont Neuf, 31000, Toulouse France",0,0,1.4406321,43.5997961
"1 Place du Temple, 38580 Allevard France",0,0,6.0742121,45.3941417
"1 Pontou Str, Larnaca 6027 Cyprus",NA,0,33.6351317,34.9014013
"1 Porte de Paris, 59600 Maubeuge France",0,0,3.9723464,50.2730979
"1 Promenade des Ecrins Le Village, 38860 Les Deux-Alpes France",0,0,6.1301003,45.0198416
"1 Queens Road, Shanklin PO37 6AN England",0,0,-1.1743464,50.6276441
"1 Ridge Hill, Dartmouth TQ6 9PE England",0,0,-3.5777665,50.3544666
"1 Rimini, Ialyssos 851 01 Greece",0,0,28.162607,36.417117
"1 Ripon Road, Harrogate HG1 2SY England",0,0,-1.5448481,53.9953575
"1 Rond Point de l Hotel de Ville Avenue Louis Sammut, 13500 Martigues France",0,1,5.047956,43.4064303
"1 Ronngatan, Malmo 211 47 Sweden",0,0,12.9970546,55.597864
"1 Ross Street Paceville, Saint Julian's, Island of Malta STJ 3246 Malta",NA,0,14.491256,35.9231053
"1 Route de la Pree La Salicorne, 17590 Ars-en-Re, Ile de Re France",0,0,-1.509341,46.208882
"1 Rua Joao Francisco Cabral 3, Ponta Delgada, Sao Miguel 9500-208 Portugal",0,0,-25.6755,37.7376
"1 Rue Victor Hugo, Vianden 9414 Luxembourg",0,0,6.2076828,49.9340693
"1 Rue des Deportes, 64700 Hendaye France",0,0,-1.781351,43.352334
"1 Rue des Tiredous Boulevard Olof Palme, 64000 Pau, Communaute d'Agglomeration Pau-Pyrenees France",0,0,-0.3585628,43.3304714
"1 Rutland Street, Nottingham NG1 6FL England",0,1,-1.1541989,52.9516411
"1 Sidagmatarchi Davaki Konstadinou, Alimos 174 55 Greece",0,0,23.7084343,37.9174152
"1 Siderurgistilor St, Galati 800478 Romania",NA,0,28.023959,45.428325
"1 Station Hill, North Berwick EH39 4AN Scotland",0,0,-2.7277906,56.0583632
"1 Studley Road, Harrogate HG1 5JU England",0,1,-1.5388792,53.998202
"1 Suffolk Place, London SW1Y 4HX England",0,0,-0.1311382,51.5084595
"1 Swan Street, Isleworth, Hounslow TW7 6XA England",0,0,-0.3241895,51.4690318
"1 T rue Fleuriau, 17000, La Rochelle France",1,1,-1.1510016,46.1613063
"1 T rue du petit Clamart, 78140 Velizy-Villacoublay France",1,0,2.2246463,48.7823331
"1 Thalias Street, Pernera, Paralimni 5297 Cyprus",NA,0,34.037518,35.0294173
"1 The Terrace off Scrations Lane, Lostwithiel PL22 0DT England",0,1,-4.6743766,50.406522
"1 Thorn House 38 Thorn Road, Worthing BN11 3ND England",0,0,-0.3808313,50.8085438
"1 Tower Place, Edinburgh EH6 7BZ Scotland",0,1,-3.16878,55.9782488
"1 Traverse de la Gendarmerie, 83990, Saint-Tropez France",0,0,6.6361501,43.2696314
"1 Vasagatan P.O. Box 234, Stockholm 111 20 Sweden",0,1,18.0581268,59.3315127
