,HotelClass,AvgRating,PriceRangeLow,PriceRangeHigh,BBInnBinary,NumberRooms,LanguagesSpoken,TotalPhotos,DiningPhotos,PoolBeachPhotos,RoomSuitePhotos,TravelerPhotos,VideosPhotos,ReviewCount,ExcellentReviewCount,VeryGoodReviewCount,AverageReviewCount,PoorReviewCount,TerribleReviewCount,QACount,RoomTipCount,LocationRating,CleanlinessRating,ServiceRating,ValueRating,WalkerScore,RestaurantScore,AttractionsScore,DescriptionLengthWords,DescriptionSustainable,DescriptionRenewables,HotelStyleGreen,HotelStyleBusiness,HotelStyleModern,HotelStyleLuxury,CityViewRoomType,NonSmokingRoomType,SuitesRoomType,FamilyRoomType,OceanViewRoomType,PoolViewRoomType,BridalRoomType,AmenitiesSectionLength,AmenitiesBicycleRent,AmenitiesHighSpeedWiFi,AmenitiesRestaurant,AmenitiesPaidParking,AmenitiesFreeParking,AmenitiesFitness,AmenitiesBar,AmenitiesChildren,AmenitiesPets,AmenitiesSauna,AmenitiesHotTub,AmenitiesPool,AmenitiesCoffeeShop,AmenitiesSpecialDiet,AmenitiesBreakfast,AmenitiesBreakfastRoom,AmenitiesTaxi,AmenitiesAirport,AmenitiesBusiness,AmenitiesConference,AmenitiesBanquet,AmenitiesMeetingRooms,AmenitiesTerrace,AmenitiesBaggage,AmenitiesConcierge,AmenitiesCurrencyEx,AmenitiesNonSmoking,Amenities24Hours,AmenitiesSpecialCheck,AmenitiesDryCleaning,AmenitiesLaundry,AmenitiesFacialTreat,AmenitiesSpa,AmenitiesMassage,RoomFeatSectionLength,RoomFeatAllergyFree,RoomFeatFlatsceenTV,RoomFeatWalkInShower,RoomFeatHousekeeping,RoomFeatCoffeeTea,RoomFeatSoundproof,RoomFeatSafe,RoomFeatLaptopSafe,RoomFeatBalcony,RoomFeatRefrigerator,RoomFeatToiletries,RoomFeatHairdryer,RoomFeatFireplace,RoomFeatAirCon,RoomFeatMinibar,RoomFeatMicrowave,RoomFeatVIP,RoomFeatService,RoomFeatWakeUp,SpecialtBinary,GreenLeaderBinary,TravelersChoiceBinary,Percentile,EnglishReviewProportion,LocalReviewProportion
20842,4.0,4.0,69.0,177.0,0,62.0,3,526,28.0,0.0,127.0,483.0,0.0,1129,492,391,166,52,28,9,76,45.0,45.0,45.0,40.0,100.0,54.0,51.0,83.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,440,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,72,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0.7272727272727273,0.2604074402125775,0.604074402125775
20843,4.0,4.0,60.0,157.0,0,42.0,4,440,20.0,0.0,47.0,395.0,0.0,758,274,273,115,52,44,4,54,50.0,40.0,40.0,40.0,100.0,58.0,53.0,131.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,533,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,172,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0.4545454545454546,0.3205804749340369,0.5329815303430079
20845,3.0,4.0,43.0,88.0,0,31.0,5,266,14.0,0.0,38.0,259.0,0.0,648,197,286,110,36,19,2,38,45.0,40.0,40.0,40.0,95.0,44.0,38.0,69.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,399,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,131,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0.2727272727272727,0.1759259259259259,0.7006172839506173
20850,3.0,3.0,43.0,64.0,0,21.0,1,70,7.0,0.0,24.0,67.0,0.0,241,45,62,42,37,55,0,2,35.0,30.0,30.0,30.0,74.0,53.0,40.0,120.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,218,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,54,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0331950207468879,0.925311203319502
20851,3.0,4.0,52.0,82.0,0,24.0,1,112,13.0,0.0,18.0,112.0,0.0,246,83,115,26,17,5,1,3,45.0,40.0,40.0,40.0,90.0,38.0,34.0,129.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.1138211382113821,0.7926829268292683
20852,4.0,4.0,59.0,113.0,0,18.0,3,486,87.0,0.0,61.0,443.0,0.0,732,300,307,86,31,8,6,64,50.0,45.0,45.0,40.0,100.0,56.0,54.0,250.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,449,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,135,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0.5454545454545454,0.2800546448087431,0.6215846994535519
20854,3.0,3.0,67.0,91.0,0,30.0,1,11,1.0,0.0,10.0,11.0,0.0,44,4,7,19,3,11,0,1,40.0,30.0,30.0,35.0,97.0,44.0,41.0,216.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1818181818181818,0.75
20856,3.0,4.5,52.0,106.0,0,20.0,4,186,16.0,0.0,24.0,170.0,0.0,319,150,128,32,4,5,3,7,45.0,45.0,40.0,40.0,100.0,57.0,54.0,123.0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,464,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,210,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0.8181818181818181,0.2131661442006269,0.6833855799373041
20857,4.0,3.5,60.0,99.0,0,56.0,1,378,18.0,0.0,55.0,358.0,0.0,710,177,262,169,65,37,2,12,35.0,40.0,40.0,35.0,69.0,31.0,12.0,111.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,379,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,76,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0.25,0.0746478873239436,0.8380281690140845
20858,3.0,4.5,61.0,95.0,0,18.0,5,496,0.0,0.0,89.0,421.0,1.0,743,443,249,45,5,1,7,38,50.0,45.0,45.0,45.0,100.0,55.0,54.0,62.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,299,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,195,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0.9090909090909092,0.2934051144010767,0.5275908479138627
